Date,AC.MX,AEROMEX.MX,ALFAA.MX,ALPEKA.MX,ALSEA.MX,AMXB.MX,ASURB.MX,AUTLANB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CHDRAUIB.MX,CUERVO.MX,DANHOS13.MX,FEMSAUBD.MX,FIBRAMQ12.MX,FIBRAPL14.MX,FUNO11.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GENTERA.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,KOFUBL.MX,LABB.MX,LACOMERUBC.MX,MEGACPO.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,Q.MX,RA.MX,SITES1A-1.MX,TLEVISACPO.MX,VESTA.MX,VOLARA.MX,WALMEX.MX
2024-01-02,170.25814819335938,167.0,14.183191299438477,12.463907241821289,62.33000946044922,15.261858940124512,433.2887878417969,11.6899995803833,57.81999969482422,84.39139556884766,31.890146255493164,12.967684745788574,100.86708068847656,32.945682525634766,21.399999618530273,206.39642333984375,29.887248992919922,77.7715835571289,29.741687774658203,275.6109924316406,184.37356567382812,194.89144897460938,23.010000228881836,44.551448822021484,168.22000122070312,87.58270263671875,309.081787109375,35.24716567993164,153.9602813720703,13.658385276794434,42.68122863769531,34.727622985839844,175.94000244140625,37.63999938964844,248.36000061035156,158.0613250732422,145.95289611816406,22.748693466186523,10.574840545654297,66.05000305175781,15.350000381469727,69.08039093017578
2024-01-03,169.73731994628906,167.0,13.723735809326172,12.42408561706543,62.890655517578125,15.057978630065918,429.5717468261719,11.4399995803833,56.880001068115234,82.15040588378906,30.82120132446289,12.618823051452637,99.79507446289062,32.343849182128906,21.3799991607666,203.52017211914062,30.430004119873047,75.2900390625,29.428926467895508,268.3729553222656,177.80963134765625,191.87620544433594,22.360000610351562,43.60020446777344,163.0500030517578,84.34063720703125,306.04595947265625,34.7878303527832,151.88211059570312,13.515713691711426,41.097511291503906,33.69944381713867,171.0,36.33000183105469,236.75,152.72581481933594,142.93637084960938,21.5164737701416,10.288286209106445,65.66000366210938,15.130000114440918,67.1000747680664
2024-01-04,168.49102783203125,167.0,13.474031448364258,11.906415939331055,61.48412322998047,15.03856086730957,423.1092834472656,11.100000381469727,56.75,82.23770904541016,30.518335342407227,12.618823051452637,98.54762268066406,32.03322219848633,21.149999618530273,201.73072814941406,30.34103012084961,75.08406066894531,28.774080276489258,268.9094543457031,176.1488800048828,189.6466827392578,22.489999771118164,43.041229248046875,164.1199951171875,82.8788833618164,301.75836181640625,35.18154525756836,149.80392456054688,13.401577949523926,40.6619873046875,33.6019401550293,169.99000549316406,35.619998931884766,228.50999450683594,150.66500854492188,142.8998260498047,21.43116569519043,9.983242988586426,63.970001220703125,14.779999732971191,67.35001373291016
2024-01-05,168.29571533203125,167.0,13.683783531188965,12.045788764953613,61.848052978515625,14.951184272766113,431.10491943359375,10.989999771118164,58.93000030517578,85.70106506347656,30.65195655822754,12.967684745788574,99.79507446289062,32.3826789855957,21.190000534057617,199.97874450683594,30.163074493408203,75.29984283447266,29.282318115234375,268.32586669921875,180.70606994628906,196.91473388671875,23.940000534057617,45.40462112426758,170.47000122070312,85.26828002929688,321.4912109375,35.37841033935547,148.5511932373047,13.639363288879395,42.008148193359375,33.850120544433594,169.3000030517578,34.9900016784668,229.8300018310547,151.03199768066406,147.51597595214844,21.099414825439453,9.761393547058105,64.80999755859375,14.920000076293945,66.85012817382812
2024-01-08,166.67739868164062,167.0,13.394126892089844,12.1254301071167,61.59231948852539,14.922059059143066,430.2313537597656,11.229999542236328,59.63999938964844,83.53768157958984,30.660863876342773,13.017522811889648,98.67432403564453,32.61564636230469,21.3700008392334,202.48023986816406,30.358821868896484,75.3685073852539,29.516889572143555,270.81072998046875,181.45736694335938,194.12535095214844,23.860000610351562,45.40462112426758,166.5,86.07411193847656,312.88641357421875,34.93781661987305,147.2887420654297,13.658385276794434,41.117305755615234,34.33762741088867,170.1699981689453,35.790000915527344,235.17999267578125,153.4974365234375,144.37152099609375,22.208412170410156,9.631979942321777,65.33000183105469,15.369999885559082,67.39807891845703
2024-01-09,164.99395751953125,167.0,13.234315872192383,12.095563888549805,60.81528854370117,14.795846939086914,422.9488220214844,11.199999809265137,58.630001068115234,81.90787506103516,29.832433700561523,13.206904411315918,98.04085540771484,32.37296676635742,21.3700008392334,203.079833984375,30.252052307128906,74.34841918945312,29.272544860839844,256.974609375,172.5209197998047,191.021728515625,23.420000076293945,43.492332458496094,164.58999633789062,82.33543395996094,305.5728454589844,34.25349807739258,148.4832000732422,13.4301118850708,40.493717193603516,33.991939544677734,161.1699981689453,35.11000061035156,229.25,152.9987030029297,141.65664672851562,21.478559494018555,9.243742942810059,65.22000122070312,14.760000228881836,65.1197509765625
2024-01-10,165.356689453125,167.0,13.234315872192383,11.936281204223633,60.41201400756836,14.834681510925293,428.20794677734375,10.75,58.220001220703125,81.61682891845703,29.609737396240234,13.316546440124512,97.81671142578125,32.421504974365234,21.5,204.47579956054688,30.438899993896484,74.81922912597656,29.194355010986328,258.95123291015625,174.16189575195312,189.06719970703125,23.209999084472656,43.757110595703125,165.8000030517578,81.07982635498047,304.5773620605469,35.01280975341797,149.53201293945312,13.11623477935791,40.27595520019531,33.46898651123047,161.0399932861328,35.04999923706055,230.0,151.26724243164062,141.57440185546875,21.658653259277344,9.040380477905273,64.70999908447266,14.729999542236328,66.8212890625
2024-01-11,167.8585662841797,167.0,13.284256935119629,11.906415939331055,60.36283493041992,15.106521606445312,427.3076477050781,10.789999961853027,58.880001068115234,82.17951202392578,29.832433700561523,13.206904411315918,98.00186157226562,31.9749813079834,21.510000228881836,204.82244873046875,30.358821868896484,74.52497100830078,29.419151306152344,255.60986328125,174.1223602294922,190.5306396484375,23.18000030517578,43.97285842895508,164.8000030517578,79.59934997558594,306.5486755371094,35.46277618408203,147.49267578125,13.258905410766602,40.968833923339844,33.62853240966797,160.0,35.45000076293945,225.7100067138672,151.7095184326172,142.70785522460938,21.146806716918945,8.77231216430664,64.66999816894531,14.859999656677246,67.2154312133789
2024-01-12,168.68634033203125,167.0,13.254292488098145,11.926325798034668,60.87430191040039,15.261858940124512,422.45855712890625,10.989999771118164,59.41999816894531,82.94590759277344,29.992773056030273,13.177001953125,98.85948181152344,31.081933975219727,21.489999771118164,205.3658447265625,30.243154525756836,73.9168472290039,29.047746658325195,253.05909729003906,171.621337890625,187.0242919921875,23.329999923706055,44.1297607421875,165.0,80.61132049560547,306.6570739746094,35.069053649902344,152.46478271484375,13.477667808532715,39.59297561645508,34.87830352783203,158.6300048828125,35.2400016784668,225.1999969482422,153.69505310058594,141.89431762695312,21.336380004882812,8.726092338562012,65.16999816894531,14.3100004196167,68.23442840576172
2024-01-15,170.95570373535156,167.0,13.22432804107666,11.936281204223633,60.284149169921875,15.456029891967773,417.163818359375,10.960000038146973,59.59000015258789,82.20860290527344,30.197654724121094,13.00755500793457,98.44042205810547,31.130468368530273,21.43000030517578,203.9698944091797,30.252052307128906,75.11347961425781,28.7349853515625,255.42160034179688,167.45956420898438,186.81805419921875,23.25,43.88459777832031,164.99000549316406,81.31407928466797,307.9975891113281,35.05030822753906,151.2897186279297,13.620340347290039,40.32544708251953,35.18852996826172,157.88999938964844,34.34000015258789,223.5,153.42214965820312,142.223388671875,20.91931915283203,8.827774047851562,65.97000122070312,14.489999771118164,67.84028625488281
